Date;Relève;Energie
24/09/19;1;0
02/10/19;4;3
27/10/19;39;35
02/11/19;39;0
02/12/19;168;129
02/01/20;222;54
02/02/20;367;145
02/03/20;517;150
02/04/20;686;169
02/05/20;882;196
02/06/20;1032;150
02/07/20;1199;167
02/08/20;1350;151
02/09/20;1428;78
02/10/20;1543;115
02/11/20;1744;201
02/12/20;1910;166
01/01/21;2024;114
02/02/21;2209;185
02/03/21;2394;185
02/04/21;2554;160
02/05/21;2712;158
02/06/21;2871;159
02/07/21;2976;105
02/08/21;3085;109
02/09/21;3169;84
02/10/21;3262;93
02/11/21;3400;138
02/12/21;3451;51
02/01/22;3555;104
02/02/22;3681;126
01/03/22;3815;134
